supressao_apos_2008,tipo_area,tamanho_imovel,potencial_regeneracao_natural,dinamica_hidrica,pedregosidade_solo,estrutura_ecossistema,recomendacao
nao,reserva_legal,menor4mf_agri_familiar,baixo,nao_alaga,baixo,florestal,"Plantio ou Semeadura de Espécies Nativas
Sistemas Agroflorestais Sucessionais (SAFS)
Sistemas Silviculturais (nativas com até 50% de exóticas não invasoras)"
nao,reserva_legal,menor4mf_agri_familiar,baixo,nao_alaga,medio,florestal,"Plantio ou Semeadura de Espécies Nativas
Sistemas Agroflorestais Sucessionais (SAFS)
Sistemas Silviculturais (nativas com até 50% de exóticas não invasoras)"
nao,reserva_legal,menor4mf_agri_familiar,baixo,nao_alaga,alto,florestal,"Facilitação da Regeneração Natural
"
nao,reserva_legal,menor4mf_agri_familiar,baixo,alaga_periodicamente,baixo,florestal,"Plantio ou Semeadura de Espécies Nativas
Sistemas Agroflorestais Sucessionais (SAFS)
Sistemas Silviculturais (nativas com até 50% de exóticas não invasoras)"
nao,reserva_legal,menor4mf_agri_familiar,baixo,alaga_periodicamente,medio,florestal,"Plantio ou Semeadura de Espécies Nativas
Sistemas Agroflorestais Sucessionais (SAFS)
Sistemas Silviculturais (nativas com até 50% de exóticas não invasoras)"
nao,reserva_legal,menor4mf_agri_familiar,baixo,alaga_periodicamente,alto,florestal,"Facilitação da Regeneração Natural
"
nao,reserva_legal,menor4mf_agri_familiar,baixo,permanentemente_alagado,baixo,florestal,Facilitação da Regeneração Natural
nao,reserva_legal,menor4mf_agri_familiar,baixo,permanentemente_alagado,medio,florestal,Facilitação da Regeneração Natural
nao,reserva_legal,menor4mf_agri_familiar,baixo,permanentemente_alagado,alto,florestal,"Facilitação da Regeneração Natural
"
nao,reserva_legal,menor4mf_agri_familiar,medio,nao_alaga,baixo,florestal,"Plantio ou Semeadura de Espécies Nativas
Plantio ou Semeadura de Espécies Nativas conjugado com Regeneração Natural
Sistemas Agroflorestais Sucessionais (SAFS)
Sistemas Silviculturais (nativas com até 50% de exóticas não invasoras)"
nao,reserva_legal,menor4mf_agri_familiar,medio,nao_alaga,medio,florestal,"Plantio ou Semeadura de Espécies Nativas
Plantio ou Semeadura de Espécies Nativas conjugado com Regeneração Natural
Sistemas Agroflorestais Sucessionais (SAFS)
Sistemas Silviculturais (nativas com até 50% de exóticas não invasoras)"
nao,reserva_legal,menor4mf_agri_familiar,medio,nao_alaga,alto,florestal,"Facilitação da Regeneração Natural
"
